episode,ep_return,ep_length,global_step,epsilon
339,63.375431060791016,69,26880,0.0
340,24.63942527770996,30,26880,0.0
341,58.35942077636719,64,26880,0.0
342,42.87127685546875,50,26880,0.0
343,49.275848388671875,55,26880,0.0
344,48.77164077758789,55,27136,0.0
345,22.464630126953125,28,27136,0.0
346,71.57933807373047,79,27392,0.0
347,50.114200592041016,56,27392,0.0
348,74.47891998291016,82,27648,0.0
349,17.844608306884766,23,27648,0.0
350,35.33725357055664,41,27648,0.0
351,33.107391357421875,39,27648,0.0
352,23.54023551940918,29,27648,0.0
353,29.053272247314453,35,27648,0.0
354,31.227216720581055,37,27648,0.0
355,28.566360473632812,34,27904,0.0
356,26.379234313964844,32,27904,0.0
357,39.27984619140625,45,27904,0.0
358,53.47161865234375,59,27904,0.0
359,69.45396423339844,75,28160,0.0
360,60.389434814453125,66,28160,0.0
361,29.133089065551758,35,28160,0.0
362,70.60820007324219,78,28160,0.0
363,45.32371139526367,51,28160,0.0
364,41.31292724609375,47,28160,0.0
365,31.372631072998047,37,28416,0.0
366,60.67497253417969,68,28416,0.0
367,71.2386474609375,77,28672,0.0
368,51.44194793701172,58,28672,0.0
369,106.08399200439453,112,28672,0.0
370,68.2893295288086,76,28928,0.0
371,60.00725555419922,66,29184,0.0
372,39.58074188232422,45,29440,0.0
373,59.20472717285156,65,29440,0.0
374,61.77298355102539,67,29440,0.0
375,109.25009155273438,116,29696,0.0
376,65.7159194946289,71,29696,0.0
377,39.26157760620117,45,29696,0.0
378,53.65652084350586,59,29952,0.0
379,34.85690689086914,41,29952,0.0
380,73.35404968261719,79,29952,0.0
381,47.80276870727539,54,29952,0.0
382,44.30355453491211,52,29952,0.0
383,77.40553283691406,83,30208,0.0
384,59.512054443359375,67,30208,0.0
385,48.27082061767578,54,30208,0.0
386,65.24015808105469,73,30464,0.0
387,112.13685607910156,119,30464,0.0
388,37.36665344238281,43,30464,0.0
389,22.580089569091797,28,30720,0.0
390,43.74454116821289,49,30720,0.0
391,33.36558532714844,39,30720,0.0
392,77.42548370361328,83,30720,0.0
393,61.674537658691406,67,30720,0.0
394,113.16900634765625,120,30720,0.0
395,16.965862274169922,22,30976,0.0
396,87.51457214355469,94,30976,0.0
